;Definition;Type;Example;synonyms
ridge;"A ridge is a long, narrow piece of raised land.
";countable noun; ...the bony ridge of the eye socket.;
preside;"If you preside over a meeting or an event, you are in charge.
";verb; The PM presided over a meeting of his inner Cabinet.;officiate,moderate,
affront;"If something affronts you, you feel insulted and hurt because of it.
";verb; His reforms had so affronted many of his natural supporters in England.;offend,anger,provoke,outrage,offended,cross,angry,upset,insult,wrong,injury,abuse,
lengthy;"You use lengthy to describe an event or process which lasts for a long time.
";adjective; ...a lengthy meeting.;protracted,long,rambling,interminable,long-winded,
irritating;"Something that is irritating keeps annoying you.
";adjective; They also have the irritating habit of interrupting.;annoying,trying,provoking,infuriating,
smelly;"Something that is smelly has an unpleasant smell.
";adjective; He had extremely smelly feet.;stinking,fetid,
fetid;"Fetid water or air has a very strong unpleasant smell.
";adjective; ...the fetid river of waste.;stinking,rank,offensive,foul,
sniff;"When you sniff, you breathe in air through your nose hard enough to make a sound, for example when you are trying not to cry, or in order to show disapproval.
";verb; She wiped her face and sniffed loudly.;inhale,snuff,smell,nose,scent,hint,clue,inkling,sign,
simper;"When someone simpers, they smile in a rather silly way.
";verb; The maid lowered her chin and simpered.;smirk,
lustrous;"Something that is lustrous shines brightly and gently, because it has a smooth or shiny surface.
";adjective; ...a head of thick, lustrous, wavy brown hair.;shining,bright,glowing,sparkling,
glazed;"If you describe someone's eyes as glazed, you mean that their expression is dull or dreamy, usually because they are tired or are having difficulty concentrating on something.
";adjective; Doctors with glazed eyes sat in front of a television set.;expressionless,cold,fixed,empty,
downy;"Something that is downy is filled or covered with small soft feathers.
";adjective; ...the warm downy quilt.;fluffy,woolly,fleecy,feathery,soft,smooth,sleek,silky,
spontaneous;"Spontaneous acts are not planned or arranged, but are done because someone suddenly wants to do them.
";adjective; Their spontaneous outbursts of song were accompanied by lively music.;impromptu,willing,freely,impromptu,
debonair;"A man who is debonair is confident, charming, and well-dressed.
";adjective; He was a handsome, debonair, death-defying racing-driver.;elegant,charming,smooth,
adroit;"Someone who is adroit is quick and skilful in their thoughts, behaviour, or actions.
";adjective; She is a remarkably adroit and determined politician.;skilful,able,skilled,expert,skill,ability,craft,expertise,
yap;"If a small dog yaps, it makes short loud sounds in an excited way.
";verb; The little dog yapped frantically.;yelp,bark,talk,go on,gossip,
outgoing;"You use outgoing to describe a person in charge of something who is soon going to leave that position.
";adjective; ...the outgoing director of the Edinburgh International Festival.;last,former,past,
cordial;"Cordial means friendly.
";adjective; He had never known him to be so chatty and cordial.;warm,friendly,cheerful,warmth,
springy;"If something is springy, it returns quickly to its original shape after you press it.
";adjective; Steam for about 12 mins until the cake is risen and springy to touch in the centre.;flexible,elastic,resilient,bouncy,
merciful;"If you describe God or a person in a position of authority as merciful, you mean that they show kindness and forgiveness to people.
";adjective; ...a merciful God.;compassionate,forgiving,sympathetic,kind,welcome,desired,blessed,
with one accord;"If a number of people do something with one accord, they do it together or at the same time, because they agree about what should be done.
";phrase; With one accord they turned and walked back over the grass.;
successor;"Someone's successor is the person who takes their job after they have left.
";countable noun; He set out several principles that he hopes will guide his successors.;heir,beneficiary,inheritor,
saga;"A saga is a long story, account, or sequence of events.
";countable noun; ...a 600-page saga about 18th-century slavery.;epic,story,tale,legend,
remorse;"Remorse is a strong feeling of sadness and regret about something wrong that you have done.
";uncountable noun; He was full of remorse.;regret,shame,guilt,pity,
repentance;"If you show repentance for something wrong that you have done, you make it clear that you are sorry for doing it.
";uncountable noun; They showed no repentance during their trial.;regret,guilt,grief,sorrow,
verbatim;"If you repeat something verbatim, you use exactly the same words as were used originally.
";adverb; The President's speeches are regularly reproduced verbatim in the state-run newspapers.;exactly,to the letter,
literal;"The literal sense of a word or phrase is its most basic sense.
";adjective; In many cases, the people there are fighting, in a literal sense, for their homes.;unimaginative,boring,dull,down-to-earth,actual,real,true,simple,
unearthly;"You use unearthly to describe something that seems very strange and unnatural.
";adjective; For a few seconds we watched the unearthly lights on the water.;eerie,strange,supernatural,ghostly,unreasonable,ridiculous,absurd,strange,
sublime;"If you describe something as sublime, you mean that it has a wonderful quality that affects you deeply.
";adjective; Sublime music floats on a scented summer breeze to the spot where you lie.;noble,magnificent,glorious,high,total,complete,utter,supreme,
